"データファイル名        : ","C:\Users\queez\Dropbox\Experiments\2019-Ito-kun\data\Qms\S1_200804_200905.qst"
"ロットＩＤ              : ",""
"センサータイプ          : ","BGM102              "
"センサー番号            : ",1
"レシピ番号              : ",0
"レシピ名称              : ","general1"
"測定モード              : ","トレンドモード"
"測定質量数              : ",2 ,3 ,4 ,14,15,16,17,18,19,20,28,32,40,44,--,--,--,--,--,--
"測定スピード            : ",50    ,"msec"
"移動平均回数            : ",1,"回"
"測定間隔                : ",700   ,"msec"
"保存間隔                : ",1,"回"
"導入バルブ状態          : ","全閉"
"終了バルブ状態          : ","状態維持"
"イオン化電圧            : ",50    ,"eV"
"レンジ値                : ","オートレンジ"
"データの種類            : ","イオン強度"
"分圧の参照値            : ","感度校正値"
"圧力単位                : ","[Pa]"
"ｱﾅﾛｸﾞCH.1のデータの種類 : ","圧力"
"ｱﾅﾛｸﾞCH.2のデータの種類 : ","圧力"
"選択 FIL                : ","FIL1"
"選択 SEM / FC           : ","SEM"
"SEM 電圧                : ",-1.000,"kV"
"変換条件 電流 ->分圧    : ","校正圧力値",1.00E-05,"設定イオン電流値",1.00E-07
"変換条件 ｱﾅﾛｸﾞ1->圧力   : ","換算係数値",8
圧力"変換条件 ｱﾅﾛｸﾞ1->温度   : ","最大温度",1000    ,"最小温度",0       
"変換条件 ｱﾅﾛｸﾞ2->圧力   : ","換算係数値",8
"変換条件 ｱﾅﾛｸﾞ2->温度   : ","最大温度",1000    ,"最小温度",0       
"測定開始日時            : ",2020/08/04 20:09:05
"測定終了日時            : ",2020/08/04 21:30:20
"エミッション電流        : ","なし"
"SEMインターロック       : ","監視状態","有効",2.00E-02
"Ar表示機能              : ","無効",0


"測定回数","経過時間"   ,"ｱﾅﾛｸﾞ1" ,"ｱﾅﾛｸﾞ2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
      21  ,000:00:14.047 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.14E-10, 2.24E-12, 2.40E-12, 3.83E-11, 6.61E-11, 1.95E-10, 1.39E-09, 5.91E-09, 3.17E-11, 8.93E-10, 1.10E-09, 5.61E-11, 2.27E-11, 6.16E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      22  ,000:00:14.765 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.14E-10, 2.19E-12, 1.35E-12, 3.89E-11, 6.62E-11, 1.98E-10, 1.39E-09, 5.89E-09, 2.91E-11, 8.93E-10, 1.10E-09, 5.61E-11, 2.27E-11, 6.16E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      23  ,000:00:15.469 ,1.00E-08 ,1.00E-08 ,2.21E-04 , 8.82E-10, 2.19E-12, 1.35E-12, 3.89E-11, 6.62E-11, 1.98E-10, 1.39E-09, 5.89E-09, 2.91E-11, 9.06E-10, 1.11E-09, 5.70E-11, 2.16E-11, 6.25E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      24  ,000:00:16.172 ,1.00E-08 ,1.00E-08 ,2.21E-04 , 8.82E-10, 3.04E-12, 1.74E-12, 3.84E-11, 6.84E-11, 1.97E-10, 1.38E-09, 5.81E-09, 3.21E-11, 9.06E-10, 1.11E-09, 5.70E-11, 2.16E-11, 6.25E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      25  ,000:00:16.875 ,1.00E-08 ,1.00E-08 ,2.21E-04 , 8.29E-10, 3.04E-12, 1.74E-12, 3.84E-11, 6.84E-11, 1.97E-10, 1.38E-09, 5.81E-09, 3.21E-11, 9.04E-10, 1.12E-09, 5.62E-11, 2.24E-11, 6.09E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      26  ,000:00:17.578 ,1.00E-08 ,1.00E-08 ,2.21E-04 , 8.29E-10, 2.30E-12, 1.41E-12, 3.88E-11, 6.68E-11, 1.99E-10, 1.39E-09, 5.80E-09, 3.03E-11, 9.04E-10, 1.12E-09, 5.62E-11, 2.24E-11, 6.09E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      27  ,000:00:18.281 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 9.93E-10, 2.30E-12, 1.41E-12, 3.88E-11, 6.68E-11, 1.99E-10, 1.39E-09, 5.80E-09, 3.03E-11, 8.92E-10, 1.10E-09, 5.89E-11, 2.13E-11, 6.37E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      28  ,000:00:18.984 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 9.93E-10, 3.12E-12, 1.45E-12, 3.96E-11, 6.68E-11, 2.01E-10, 1.39E-09, 5.85E-09, 2.97E-11, 8.92E-10, 1.10E-09, 5.89E-11, 2.13E-11, 6.37E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      29  ,000:00:19.687 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 1.16E-09, 3.12E-12, 1.45E-12, 3.96E-11, 6.68E-11, 2.01E-10, 1.39E-09, 5.85E-09, 2.97E-11, 8.94E-10, 1.11E-09, 5.46E-11, 2.28E-11, 6.70E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      30  ,000:00:20.390 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 1.16E-09, 2.84E-12, 1.49E-12, 4.11E-11, 6.88E-11, 2.06E-10, 1.38E-09, 5.86E-09, 3.09E-11, 8.94E-10, 1.11E-09, 5.46E-11, 2.28E-11, 6.70E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      31  ,000:00:21.094 ,1.00E-08 ,1.00E-08 ,2.24E-04 , 9.68E-10, 2.84E-12, 1.49E-12, 4.11E-11, 6.88E-11, 2.06E-10, 1.38E-09, 5.86E-09, 3.09E-11, 8.98E-10, 1.12E-09, 5.70E-11, 2.16E-11, 6.45E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      32  ,000:00:21.797 ,1.00E-08 ,1.00E-08 ,2.24E-04 , 9.68E-10, 2.24E-12, 1.78E-12, 3.91E-11, 6.63E-11, 1.96E-10, 1.38E-09, 5.78E-09, 3.03E-11, 8.98E-10, 1.12E-09, 5.70E-11, 2.16E-11, 6.45E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      33  ,000:00:22.500 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 8.70E-10, 2.24E-12, 1.78E-12, 3.91E-11, 6.63E-11, 1.96E-10, 1.38E-09, 5.78E-09, 3.03E-11, 8.96E-10, 1.10E-09, 5.72E-11, 2.18E-11, 6.19E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      34  ,000:00:23.203 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 8.70E-10, 2.18E-12, 1.80E-12, 3.85E-11, 6.72E-11, 1.94E-10, 1.38E-09, 5.77E-09, 2.95E-11, 8.96E-10, 1.10E-09, 5.72E-11, 2.18E-11, 6.19E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      35  ,000:00:23.906 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.42E-10, 2.18E-12, 1.80E-12, 3.85E-11, 6.72E-11, 1.94E-10, 1.38E-09, 5.77E-09, 2.95E-11, 8.78E-10, 1.10E-09, 5.44E-11, 2.25E-11, 6.08E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
